winner,winning_bid,winner_value,utility,is_llm,bids,trial
Agent_4,95.0,95.09646538333344,0.09646538333343813,False,{'Agent_4': 95.0},0
Agent_0,98.0,98.1743394290514,0.17433942905140043,False,{'Agent_0': 98.0},1
Agent_2,86.0,86.21818718599565,0.2181871859956459,False,{'Agent_2': 86.0},2
Agent_0,92.0,92.4729409852217,0.4729409852216975,False,{'Agent_0': 92.0},3
Agent_0,92.0,92.83021586990017,0.8302158699001723,False,{'Agent_0': 92.0},4
Agent_3,98.0,98.68706108476367,0.6870610847636698,False,{'Agent_3': 98.0},5
Agent_1,98.0,98.07357200344772,0.07357200344772252,True,{'Agent_1': 98.0},6
Agent_2,89.0,89.58380348387811,0.5838034838781141,False,{'Agent_2': 89.0},7
Agent_3,90.0,90.81257713362103,0.8125771336210335,False,{'Agent_3': 90.0},8
Agent_4,99.0,99.40181229624312,0.4018122962431221,True,{'Agent_4': 99.0},9
Agent_2,99.0,99.3656831578067,0.3656831578066999,False,{'Agent_2': 99.0},10
Agent_1,99.0,99.2557085324629,0.25570853246290426,False,{'Agent_1': 99.0},11
Agent_2,99.0,99.91461518057494,0.9146151805749412,False,{'Agent_2': 99.0},12
Agent_0,97.0,97.87510609987109,0.8751060998710898,False,{'Agent_0': 97.0},13
Agent_0,97.0,97.1947432168731,0.19474321687310692,False,{'Agent_0': 97.0},14
Agent_3,86.0,86.69063908523044,0.690639085230444,False,{'Agent_3': 86.0},15
Agent_0,99.0,99.94792801385876,0.9479280138587569,False,{'Agent_0': 99.0},16
Agent_0,92.0,92.49177917415551,0.49177917415551065,False,{'Agent_0': 92.0},17
Agent_0,94.0,94.7893207961148,0.7893207961147937,False,{'Agent_0': 94.0},18
Agent_2,86.0,86.59205337368495,0.5920533736849478,False,{'Agent_2': 86.0},19
Agent_3,96.0,96.97273683593218,0.9727368359321815,True,{'Agent_3': 96.0},20
Agent_3,93.0,93.23210081193741,0.23210081193741416,False,{'Agent_3': 93.0},21
Agent_0,87.0,87.9694794678052,0.9694794678052006,False,{'Agent_0': 87.0},22
Agent_4,88.0,88.56502757602206,0.5650275760220609,False,{'Agent_4': 88.0},23
Agent_3,92.0,92.33693966805669,0.3369396680566865,False,{'Agent_3': 92.0},24
Agent_2,79.0,79.06484767206676,0.06484767206676167,False,{'Agent_2': 79.0},25
Agent_4,96.0,96.48539827973953,0.48539827973952754,True,{'Agent_4': 96.0},26
Agent_0,98.0,98.38367990912559,0.3836799091255898,False,{'Agent_0': 98.0},27
Agent_2,95.0,95.67766486025587,0.6776648602558737,True,{'Agent_2': 95.0},28
Agent_2,98.0,98.13589537828112,0.13589537828111986,False,{'Agent_2': 98.0},29
Agent_0,94.0,94.69610255851796,0.6961025585179641,False,{'Agent_0': 94.0},30
Agent_0,93.0,93.66054057389367,0.6605405738936696,True,{'Agent_0': 93.0},31
Agent_4,85.0,85.54387723831744,0.5438772383174353,False,{'Agent_4': 85.0},32
