winner,winning_bid,winner_value,utility,is_llm,bids,trial
Agent_4,63.03719932824595,94.3842692536209,31.347069925374953,True,"{'Agent_0': 63.03719932824595, 'Agent_1': 49.04447537218958, 'Agent_2': 57.21935646699806, 'Agent_3': 57.046987939593215, 'Agent_4': 72.4677643521492}",0
Agent_1,77.87739067025643,91.51312106586926,13.635730395612825,True,"{'Agent_0': 77.56515342344156, 'Agent_1': 78.36128921813025, 'Agent_2': 68.0018562292551, 'Agent_3': 69.15785737130777, 'Agent_4': 77.87739067025643}",1
Agent_4,56.50023909250049,62.385521580553885,5.885282488053392,True,"{'Agent_0': 55.19390240851276, 'Agent_1': 52.76766083441054, 'Agent_2': 56.50023909250049, 'Agent_3': 52.55156113419768, 'Agent_4': 59.151277816429314}",2
Agent_4,71.96664710622795,87.54711964848374,15.58047254225579,True,"{'Agent_0': 71.96664710622795, 'Agent_1': 66.21462557821097, 'Agent_2': 57.23553882578693, 'Agent_3': 51.97931706159067, 'Agent_4': 80.97525689652369}",3
Agent_0,63.801447019042705,80.01888708471702,16.217440065674317,False,"{'Agent_0': 64.01510966777361, 'Agent_1': 63.801447019042705, 'Agent_2': 52.5073607580781, 'Agent_3': 49.27554509387562, 'Agent_4': 61.824917253144726}",4
Agent_3,66.78793381471307,94.42067491269086,27.632741097977785,False,"{'Agent_0': 48.82767655642674, 'Agent_1': 55.32558130309847, 'Agent_2': 65.68001913092189, 'Agent_3': 75.53653993015268, 'Agent_4': 66.78793381471307}",5
Agent_1,66.4399035072879,90.52436016686822,24.084456659580326,False,"{'Agent_0': 66.4399035072879, 'Agent_1': 72.41948813349458, 'Agent_2': 54.91537494884468, 'Agent_3': 64.60684291160332, 'Agent_4': 62.1513409414465}",6
Agent_2,74.05583822529931,98.76220944262815,24.706371217328837,False,"{'Agent_0': 61.948319586464095, 'Agent_1': 74.05583822529931, 'Agent_2': 79.00976755410252, 'Agent_3': 63.04033263873126, 'Agent_4': 63.37735190924735}",7
Agent_0,78.24619326602274,94.30932377601411,16.063130509991367,True,"{'Agent_0': 89.91370847782844, 'Agent_1': 58.55371723452689, 'Agent_2': 70.19755756746984, 'Agent_3': 57.22296945156659, 'Agent_4': 78.24619326602274}",8
Agent_4,56.07676323015065,90.90191704159231,34.825153811441666,True,"{'Agent_0': 49.17430817003868, 'Agent_1': 50.81791336882524, 'Agent_2': 56.07676323015065, 'Agent_3': 51.70949124579065, 'Agent_4': 87.831945321164}",9
